layer,expert,tensor_count,changed_tensors,max_relative_delta_norm,mean_relative_delta_norm,target_cap,delta_scale,scaled,predicted_max_relative_delta_norm
1,103,3,3,0.2035884412325993,0.2017238175978133,0.65,1.0,False,0.2035884412325993
1,104,3,3,0.3769559580512879,0.3678516921260484,0.65,1.0,False,0.3769559580512879
1,105,3,3,0.4705825405250695,0.4493397385881061,0.65,1.0,False,0.4705825405250695
1,106,3,3,0.1390730353219709,0.13370972898603187,0.65,1.0,False,0.1390730353219709
1,107,3,3,0.2717029693129398,0.2617452408642347,0.65,1.0,False,0.2717029693129398
1,108,3,0,0.0,0.0,0.65,1.0,False,0.0
1,109,3,3,0.2581675629746576,0.2526715690683687,0.65,1.0,False,0.2581675629746576
1,110,3,0,0.0,0.0,0.65,1.0,False,0.0
1,111,3,0,0.0,0.0,0.65,1.0,False,0.0
1,112,3,0,0.0,0.0,0.65,1.0,False,0.0
1,113,3,3,0.1574124674319419,0.1549444954134497,0.65,1.0,False,0.1574124674319419
1,114,3,3,0.2334992528198405,0.22318463106383715,0.65,1.0,False,0.2334992528198405
1,115,3,3,0.0970758171994286,0.09406985656098447,0.65,1.0,False,0.0970758171994286
1,116,3,3,0.2384534315012425,0.22928091646768112,0.65,1.0,False,0.2384534315012425
1,117,3,0,0.0,0.0,0.65,1.0,False,0.0
1,118,3,3,0.1982906563169437,0.19272731155750442,0.65,1.0,False,0.1982906563169437
1,119,3,3,0.2274159901676247,0.22193219290133595,0.65,1.0,False,0.2274159901676247
1,120,3,3,0.1397087402090448,0.13543906885514898,0.65,1.0,False,0.1397087402090448
1,121,3,3,0.3224536090066249,0.3143140689126315,0.65,1.0,False,0.3224536090066249
1,122,3,0,0.0,0.0,0.65,1.0,False,0.0
1,123,3,3,0.270625295400627,0.2602787708737802,0.65,1.0,False,0.270625295400627
1,124,3,3,0.0508338956892766,0.04906047274055777,0.65,1.0,False,0.0508338956892766
1,125,3,3,0.1724626076527116,0.1674117493131427,0.65,1.0,False,0.1724626076527116
1,126,3,3,0.3743551596614394,0.3605630143671907,0.65,1.0,False,0.3743551596614394
1,127,3,3,0.2076052250209923,0.20385648337099851,0.65,1.0,False,0.2076052250209923
2,0,3,3,0.0532420989766351,0.051989927255212565,0.65,1.0,False,0.0532420989766351
2,1,3,0,0.0,0.0,0.65,1.0,False,0.0
2,2,3,3,0.1397379082364454,0.13523089789418283,0.65,1.0,False,0.1397379082364454
2,3,3,0,0.0,0.0,0.65,1.0,False,0.0
2,4,3,3,0.3122831850630287,0.30531799771900675,0.65,1.0,False,0.3122831850630287
2,5,3,3,0.1802042940139743,0.17206581469189083,0.65,1.0,False,0.1802042940139743
2,6,3,3,0.1087277687146201,0.10293770638937556,0.65,1.0,False,0.1087277687146201
2,7,3,3,0.3457812121381812,0.33131452858156035,0.65,1.0,False,0.3457812121381812
2,8,3,3,0.2711369194103568,0.2651976802666521,0.65,1.0,False,0.2711369194103568
2,9,3,3,0.3495854880365419,0.33940259151262636,0.65,1.0,False,0.3495854880365419
2,10,3,0,0.0,0.0,0.65,1.0,False,0.0
2,11,3,0,0.0,0.0,0.65,1.0,False,0.0
2,12,3,0,0.0,0.0,0.65,1.0,False,0.0
2,13,3,0,0.0,0.0,0.65,1.0,False,0.0
2,14,3,3,0.1469932983402839,0.1410773037770128,0.65,1.0,False,0.1469932983402839
2,15,3,3,0.1945725143743247,0.1851594817725418,0.65,1.0,False,0.1945725143743247
2,16,3,3,0.2785502826511399,0.27116929103900733,0.65,1.0,False,0.2785502826511399
2,17,3,3,0.600008617259803,0.5702499981157464,0.65,1.0,False,0.600008617259803
2,18,3,0,0.0,0.0,0.65,1.0,False,0.0
2,19,3,0,0.0,0.0,0.65,1.0,False,0.0
2,20,3,0,0.0,0.0,0.65,1.0,False,0.0
2,21,3,0,0.0,0.0,0.65,1.0,False,0.0
2,22,3,3,0.0864186677480308,0.08323709734546851,0.65,1.0,False,0.0864186677480308
2,23,3,3,0.2964614250751639,0.28349408940831466,0.65,1.0,False,0.2964614250751639
2,24,3,3,0.1136944296262613,0.10830215727589461,0.65,1.0,False,0.1136944296262613
2,25,3,0,0.0,0.0,0.65,1.0,False,0.0
2,26,3,0,0.0,0.0,0.65,1.0,False,0.0
2,27,3,0,0.0,0.0,0.65,1.0,False,0.0
2,28,3,0,0.0,0.0,0.65,1.0,False,0.0
2,29,3,0,0.0,0.0,0.65,1.0,False,0.0
2,30,3,0,0.0,0.0,0.65,1.0,False,0.0
2,31,3,0,0.0,0.0,0.65,1.0,False,0.0
2,32,3,3,0.2558520675798693,0.24899264045372416,0.65,1.0,False,0.2558520675798693
2,33,3,3,0.7499999497534081,0.7097602138642785,0.65,0.866666724729399,True,0.65
